iter	Accuracy	Logloss
0	0.73	0.6600609889
1	0.73	0.6370815163
2	0.735	0.60835534
3	0.735	0.592040278
4	0.7466666667	0.576082781
5	0.745	0.5600323737
6	0.7616666667	0.5483870074
7	0.7666666667	0.5423126436
8	0.77	0.5294695353
9	0.7716666667	0.5220755188
10	0.7766666667	0.5125042586
11	0.7733333333	0.5117538814
12	0.7783333333	0.5072227745
13	0.7783333333	0.5027211039
14	0.7883333333	0.4982059209
15	0.7833333333	0.4946582671
16	0.7866666667	0.486350625
17	0.7883333333	0.4824643442
18	0.795	0.4789580705
19	0.79	0.4767945962
20	0.7933333333	0.4756498399
21	0.8016666667	0.4704211427
22	0.805	0.4679880438
23	0.8033333333	0.4590676213
24	0.8116666667	0.4494020045
25	0.8166666667	0.4465798628
26	0.815	0.4427468803
27	0.8166666667	0.4392505684
28	0.8166666667	0.4379563416
29	0.8266666667	0.431803451
30	0.825	0.4304320046
31	0.8233333333	0.4272369967
32	0.8233333333	0.4271393024
33	0.825	0.4242164067
34	0.83	0.4190371479
35	0.83	0.4162909513
36	0.83	0.4149601268
37	0.8383333333	0.4083872094
38	0.84	0.4039141747
39	0.8416666667	0.4013285201
40	0.8466666667	0.3987829191
41	0.8483333333	0.3979328369
42	0.8466666667	0.3950841743
43	0.85	0.3930444362
44	0.855	0.3904347962
45	0.855	0.3871709253
46	0.8533333333	0.3853344237
47	0.8516666667	0.384270245
48	0.8516666667	0.3842571485
49	0.855	0.3829621577
50	0.8633333333	0.3782943104
51	0.8716666667	0.3757299791
52	0.8633333333	0.3727324982
53	0.8666666667	0.3695921466
54	0.865	0.3680087857
55	0.8666666667	0.3669608075
56	0.87	0.3643395651
57	0.87	0.3624225406
58	0.8683333333	0.3606413205
59	0.8733333333	0.3565368664
60	0.8733333333	0.3565233441
61	0.875	0.3540948943
62	0.875	0.3533867535
63	0.8766666667	0.3514871782
64	0.8783333333	0.3492128181
65	0.88	0.3459988594
66	0.8833333333	0.3438358337
