iter	Accuracy	Logloss
0	0.73	0.657129943
1	0.7366666667	0.632533565
2	0.7366666667	0.6151758728
3	0.7383333333	0.5977658097
4	0.7366666667	0.5846110123
5	0.7383333333	0.5716421757
6	0.735	0.5647094939
7	0.7366666667	0.5614313869
8	0.7483333333	0.5540625607
9	0.7466666667	0.5449428461
10	0.7533333333	0.5395236497
11	0.75	0.5296652365
12	0.75	0.5239978381
13	0.75	0.520448393
14	0.7483333333	0.5154833546
15	0.7483333333	0.5146049748
16	0.7466666667	0.5142446466
17	0.7533333333	0.5088095265
18	0.76	0.5037095251
19	0.76	0.5006060608
20	0.76	0.5005139684
21	0.7583333333	0.4943291164
22	0.7583333333	0.4938002213
23	0.765	0.4916861038
24	0.7616666667	0.4882374613
25	0.765	0.4845187172
26	0.7616666667	0.4817914849
27	0.765	0.4799551464
28	0.77	0.4768821613
29	0.7683333333	0.4737903409
30	0.775	0.4711576634
31	0.7883333333	0.465076687
32	0.7933333333	0.4612524687
33	0.795	0.4596003516
34	0.795	0.4542351853
35	0.795	0.4497308781
36	0.7916666667	0.4468188462
37	0.7933333333	0.4439836641
38	0.7933333333	0.4435991538
39	0.7916666667	0.4407651456
40	0.79	0.440133925
41	0.8	0.4378349177
42	0.8	0.4378087947
43	0.8066666667	0.433468915
44	0.8083333333	0.4313092222
45	0.81	0.4302028093
46	0.81	0.4301403241
47	0.8116666667	0.4299620188
48	0.8216666667	0.426964201
49	0.8183333333	0.423488915
50	0.8316666667	0.417190472
51	0.835	0.416273015
52	0.835	0.4160658745
53	0.8383333333	0.414041629
54	0.8433333333	0.4111699808
55	0.85	0.4087629872
56	0.8516666667	0.4051089097
57	0.8533333333	0.4036580143
58	0.8566666667	0.4009042053
59	0.8566666667	0.4009029477
60	0.8566666667	0.3992735991
61	0.86	0.395259804
62	0.86	0.3938849472
63	0.8583333333	0.3913651545
64	0.86	0.3869041866
65	0.86	0.3854594526
66	0.8666666667	0.3840146984
67	0.8683333333	0.3804539313
68	0.8666666667	0.3777012808
69	0.8716666667	0.3745918574
70	0.8716666667	0.3739577946
71	0.8733333333	0.3704696013
72	0.8766666667	0.3666577314
73	0.8766666667	0.3662975511
74	0.875	0.3638505774
75	0.8833333333	0.3611466954
76	0.885	0.354795827
77	0.8866666667	0.3546685976
78	0.885	0.3510835988
79	0.89	0.348261102
80	0.8933333333	0.3470412353
81	0.895	0.3441283042
82	0.9	0.3409107826
83	0.9	0.3402852834
84	0.9016666667	0.3384384906
85	0.9016666667	0.3359355383
86	0.905	0.3332925492
87	0.9083333333	0.3313641469
88	0.9083333333	0.3298860429
89	0.9116666667	0.3284088743
90	0.9133333333	0.3278076574
91	0.9133333333	0.3264038088
92	0.9166666667	0.3240387378
93	0.9166666667	0.3226815768
94	0.9166666667	0.3219082387
95	0.9183333333	0.3186916904
96	0.9183333333	0.313921386
97	0.9183333333	0.3118961812
98	0.92	0.3116734843
99	0.9216666667	0.3113490928
100	0.9216666667	0.3096746712
101	0.9233333333	0.3096003337
102	0.9233333333	0.3093901387
103	0.9233333333	0.3084609258
104	0.925	0.3070499463
105	0.9233333333	0.3027408652
106	0.9233333333	0.2994048173
107	0.9233333333	0.2965836914
108	0.9266666667	0.2950922784
109	0.9266666667	0.2941250488
110	0.9283333333	0.2928063478
111	0.93	0.2916640029
112	0.93	0.2896701617
113	0.93	0.2883701816
114	0.93	0.2867970586
115	0.9333333333	0.2849277252
116	0.9333333333	0.2817919569
117	0.9333333333	0.2794269017
118	0.9333333333	0.2790860898
119	0.9283333333	0.2780039353
120	0.9316666667	0.2760594308
121	0.9316666667	0.2741411041
122	0.935	0.2711792185
123	0.935	0.2708151882
124	0.935	0.2706866548
125	0.94	0.2671553957
126	0.9383333333	0.2659722523
127	0.9366666667	0.2652968696
128	0.935	0.262088764
129	0.935	0.2605294561
130	0.9366666667	0.2581600293
131	0.9366666667	0.2570826038
132	0.9366666667	0.2570011944
133	0.9366666667	0.255696358
134	0.9366666667	0.2534916249
135	0.9383333333	0.2525164505
136	0.9383333333	0.2515044733
137	0.94	0.2499415793
138	0.9433333333	0.2473288278
139	0.945	0.2441579834
140	0.945	0.2426148467
141	0.945	0.2416232547
142	0.9483333333	0.2402082193
143	0.95	0.238789346
144	0.9516666667	0.2371258057
145	0.9516666667	0.2353626875
146	0.9566666667	0.2336822199
147	0.9583333333	0.2307592185
148	0.9583333333	0.2293672929
149	0.9583333333	0.2275805258
150	0.9633333333	0.2243783513
151	0.965	0.2233060995
152	0.9633333333	0.2221418178
153	0.965	0.2203104971
154	0.9666666667	0.2183508007
155	0.9666666667	0.2178972775
156	0.965	0.2169407297
157	0.965	0.2154709282
158	0.965	0.213937982
159	0.965	0.2126198749
160	0.9683333333	0.2105305447
161	0.97	0.2092693933
162	0.9716666667	0.2078840272
163	0.97	0.207377117
164	0.97	0.2064398139
165	0.9733333333	0.2046511789
166	0.9733333333	0.2030628842
167	0.9733333333	0.2023319526
168	0.9766666667	0.2002836304
169	0.9783333333	0.2001028744
170	0.9783333333	0.1997145432
171	0.98	0.1979073496
172	0.98	0.1978232396
173	0.9766666667	0.1973025811
174	0.9783333333	0.1962280391
175	0.9783333333	0.1946829094
176	0.98	0.1925836552
177	0.98	0.1920322792
178	0.98	0.1909860395
179	0.98	0.1902690189
180	0.9816666667	0.1878170485
181	0.9833333333	0.1870775976
182	0.9833333333	0.1858150189
183	0.9833333333	0.1851930124
184	0.9833333333	0.1845300914
185	0.985	0.1826995172
186	0.985	0.1818831763
187	0.985	0.181762007
188	0.985	0.1815280194
189	0.985	0.1808299773
190	0.9866666667	0.1799324358
191	0.9866666667	0.1780745864
192	0.9866666667	0.177597759
193	0.9866666667	0.1768550881
194	0.9866666667	0.1762934226
195	0.9866666667	0.1754388456
196	0.9866666667	0.175377515
197	0.9866666667	0.1743938152
198	0.985	0.1736560792
199	0.985	0.1725932748
200	0.985	0.1703104733
201	0.985	0.1693377058
202	0.985	0.1687117101
203	0.985	0.1678855512
204	0.9866666667	0.1672779817
205	0.9866666667	0.1670240804
206	0.9866666667	0.1662717822
207	0.99	0.1634081209
208	0.9916666667	0.1611206915
209	0.9916666667	0.1606265083
210	0.99	0.1588355836
211	0.99	0.1585096714
212	0.99	0.1576630001
213	0.99	0.1567745235
214	0.99	0.1559036652
215	0.99	0.1545166976
216	0.99	0.1538499776
217	0.99	0.1531716597
218	0.99	0.1529611707
219	0.99	0.1526741096
220	0.99	0.1518714432
221	0.99	0.1510900957
222	0.99	0.1505280973
223	0.99	0.150018298
224	0.99	0.1495533828
225	0.99	0.1484456792
226	0.99	0.1482056279
227	0.99	0.147936368
228	0.99	0.147523467
229	0.9916666667	0.1469561816
230	0.9916666667	0.1467773749
231	0.9933333333	0.1456120498
232	0.995	0.1448384723
233	0.995	0.1439540037
234	0.995	0.1436580809
235	0.9933333333	0.1430041824
236	0.9933333333	0.1417251695
237	0.995	0.1410467591
238	0.9933333333	0.1404603198
239	0.995	0.1403656856
240	0.9933333333	0.1401143836
241	0.9933333333	0.1384070368
242	0.9933333333	0.1374542631
243	0.9933333333	0.1369318423
244	0.9933333333	0.1360952636
245	0.995	0.1354702892
246	0.995	0.1352852951
247	0.9933333333	0.1347224134
248	0.9933333333	0.1344407287
249	0.9933333333	0.1343764054
250	0.9933333333	0.1340363914
251	0.9933333333	0.133430704
252	0.9933333333	0.1327854321
253	0.995	0.1320868105
254	0.9933333333	0.1307073809
255	0.9933333333	0.1303551806
256	0.9933333333	0.1300258983
257	0.995	0.1288866579
258	0.9933333333	0.1282662548
259	0.995	0.1273455392
260	0.995	0.1272089689
261	0.995	0.1269218514
262	0.995	0.1265447078
263	0.995	0.1262388746
264	0.995	0.1252322346
265	0.995	0.1250083354
266	0.995	0.1236500982
267	0.995	0.1235302183
268	0.995	0.1234940034
269	0.995	0.1232841896
270	0.995	0.122485042
271	0.995	0.1216224403
272	0.995	0.1211791242
273	0.995	0.1203046261
274	0.995	0.1197103837
275	0.995	0.1194750756
276	0.995	0.118808838
277	0.995	0.118695829
278	0.995	0.1174202207
279	0.995	0.1169863012
280	0.995	0.1166583329
281	0.995	0.1164624927
282	0.995	0.1162541287
283	0.995	0.115774203
284	0.9966666667	0.1147591113
285	0.9966666667	0.1141158622
286	0.9966666667	0.1129786188
287	0.9966666667	0.1124088027
288	0.9966666667	0.1119903948
289	0.9966666667	0.1116829515
290	0.9966666667	0.1105219466
291	0.9966666667	0.1104864047
292	0.9966666667	0.1103224537
293	0.9966666667	0.1097646642
294	0.9966666667	0.1090015177
295	0.9966666667	0.1089690258
296	0.9966666667	0.10858181
297	0.9966666667	0.1084933593
298	0.9966666667	0.1071181264
299	0.9966666667	0.1067457097
300	0.9966666667	0.1062622781
301	0.9966666667	0.1059252442
302	0.9983333333	0.1051968956
303	0.9983333333	0.1048520517
304	0.9983333333	0.1043297467
305	0.9983333333	0.1030619225
306	0.9983333333	0.1024512343
307	1	0.1014391408
308	1	0.1013823481
309	1	0.1009044069
310	1	0.1006008424
311	1	0.1003472599
312	1	0.09964160182
313	1	0.09935699702
314	1	0.0990230687
315	1	0.09867627744
316	1	0.09842027272
317	1	0.0980617446
318	1	0.09751786646
319	1	0.09689742594
320	1	0.0967302942
321	1	0.09623938867
322	1	0.09590526538
323	1	0.09586418133
324	1	0.09542937617
325	1	0.095064306
