iter	Accuracy	Logloss
0	0.755	0.6502511953
1	0.75	0.626962313
2	0.7633333333	0.6065885424
3	0.76	0.5922939198
4	0.7683333333	0.5708826703
5	0.775	0.5578209395
6	0.7766666667	0.5460307764
7	0.7816666667	0.5318455197
8	0.7766666667	0.5196347828
9	0.7883333333	0.5096463278
10	0.7866666667	0.5040589675
11	0.79	0.4995843596
12	0.7883333333	0.4976697246
13	0.785	0.4935561977
14	0.7933333333	0.4886561315
15	0.795	0.4875149459
16	0.8	0.4793964571
17	0.8	0.470935639
18	0.805	0.4668482749
19	0.81	0.466072064
20	0.8116666667	0.4599805633
21	0.8183333333	0.4525582324
22	0.82	0.449713948
23	0.815	0.4456531771
24	0.815	0.4415552939
25	0.815	0.4397452917
26	0.815	0.4384715163
27	0.8183333333	0.4353596852
28	0.8233333333	0.4329164457
29	0.83	0.4287681728
30	0.8283333333	0.4227350957
31	0.835	0.4176674903
32	0.84	0.4126339969
33	0.84	0.4119284648
34	0.845	0.4091536824
35	0.8466666667	0.4068641188
36	0.845	0.4044645154
37	0.845	0.4042883933
38	0.8483333333	0.4031009186
39	0.85	0.400735115
40	0.8516666667	0.4000192444
41	0.8516666667	0.3972831713
42	0.855	0.3936749964
43	0.8533333333	0.3894857234
44	0.855	0.386486459
45	0.855	0.3839093682
46	0.85	0.3808471198
47	0.8516666667	0.3803711796
48	0.8533333333	0.3770881209
49	0.8616666667	0.3727062779
50	0.8666666667	0.3699646657
51	0.8666666667	0.3667122371
52	0.8683333333	0.3658845671
53	0.8666666667	0.3643536261
54	0.865	0.3629079996
55	0.8683333333	0.3616404154
56	0.8666666667	0.3609324532
57	0.8683333333	0.3585946378
58	0.8716666667	0.3578895843
59	0.8716666667	0.357119542
60	0.8733333333	0.3549453421
61	0.8783333333	0.3523420613
62	0.8766666667	0.3508512078
63	0.8766666667	0.348091706
64	0.8766666667	0.3468029766
65	0.875	0.3451565117
66	0.8783333333	0.344161964
67	0.88	0.3430467415
68	0.8833333333	0.3416336906
69	0.885	0.3398231675
70	0.885	0.3370432361
71	0.885	0.3354460232
72	0.885	0.335270838
73	0.89	0.3319805309
74	0.89	0.3312612528
75	0.8866666667	0.3290368858
76	0.8916666667	0.3259861528
77	0.8866666667	0.322555468
78	0.89	0.3212425562
79	0.8933333333	0.3188499702
80	0.8983333333	0.3127440013
81	0.9	0.3117485422
82	0.9016666667	0.3087725488
83	0.9033333333	0.3065285154
84	0.905	0.3039837654
85	0.9016666667	0.3011887374
86	0.9033333333	0.3000733506
87	0.9033333333	0.2986573898
88	0.905	0.2970530487
89	0.9083333333	0.2944351668
90	0.9066666667	0.2921136442
91	0.9066666667	0.2895121364
92	0.9083333333	0.2884899156
93	0.9116666667	0.283748161
94	0.91	0.2825030941
95	0.9066666667	0.2803832569
96	0.9066666667	0.280169583
97	0.91	0.2773384664
98	0.91	0.2769380608
99	0.9083333333	0.2755567601
100	0.9083333333	0.2746213967
101	0.9166666667	0.2712759476
102	0.9166666667	0.2698440714
103	0.9166666667	0.2686457791
104	0.9183333333	0.266835862
105	0.9183333333	0.2650480264
106	0.9183333333	0.2645748035
107	0.9216666667	0.2617130362
108	0.9216666667	0.25988835
109	0.9216666667	0.2590419051
110	0.9216666667	0.2588931598
111	0.9216666667	0.2565961918
112	0.9233333333	0.2546980749
113	0.9266666667	0.2515880123
114	0.9266666667	0.2500901482
115	0.9266666667	0.2483556283
116	0.9266666667	0.2474164202
117	0.9333333333	0.2456088789
118	0.935	0.2450758464
119	0.935	0.2443791359
120	0.935	0.2424140623
121	0.9433333333	0.2400388394
122	0.9416666667	0.2390866825
123	0.9433333333	0.2375341254
124	0.945	0.2347702302
125	0.945	0.2334335192
126	0.945	0.2325868487
127	0.9466666667	0.2323042438
128	0.945	0.2303898171
129	0.945	0.2284325269
130	0.9483333333	0.2265042852
131	0.9466666667	0.2253566986
132	0.9483333333	0.224699096
133	0.9483333333	0.2234708951
134	0.9516666667	0.2216711913
135	0.9516666667	0.2212857317
136	0.9533333333	0.220022848
137	0.9533333333	0.2195814822
138	0.9533333333	0.2184447725
139	0.9533333333	0.2164954195
140	0.955	0.2156829726
141	0.9533333333	0.2143159897
142	0.955	0.2124029954
143	0.9566666667	0.2112457701
144	0.9566666667	0.2103764654
145	0.9583333333	0.2077641536
146	0.96	0.2060117845
147	0.96	0.2033077637
148	0.96	0.2027251351
149	0.96	0.2005621583
150	0.96	0.1990939493
151	0.9616666667	0.1968106778
152	0.9633333333	0.19645012
153	0.9633333333	0.1961880093
154	0.9633333333	0.1957838785
155	0.9633333333	0.1952833507
156	0.9633333333	0.194800794
157	0.9633333333	0.19415578
158	0.9633333333	0.1933928817
159	0.9633333333	0.1925240476
160	0.965	0.1908203853
161	0.9633333333	0.1891736664
162	0.9633333333	0.1882704762
163	0.9633333333	0.1872017356
164	0.965	0.1855605148
165	0.9666666667	0.1848575588
166	0.9683333333	0.183079395
167	0.97	0.1825893668
168	0.97	0.1817419322
169	0.97	0.181319808
170	0.9683333333	0.1801443606
171	0.97	0.1784844839
172	0.975	0.1755479132
173	0.9766666667	0.1754129205
174	0.9766666667	0.1744763872
175	0.975	0.17296961
176	0.9766666667	0.1719112341
177	0.9766666667	0.1708906932
178	0.9766666667	0.1707138682
179	0.9783333333	0.1695564967
180	0.9783333333	0.1684573819
181	0.9783333333	0.1674285916
182	0.98	0.1661328874
183	0.9816666667	0.1654642701
184	0.9816666667	0.1647487573
185	0.9833333333	0.164131887
186	0.9833333333	0.1624166332
187	0.9816666667	0.1620389449
188	0.9816666667	0.1618137074
189	0.9816666667	0.1610113748
190	0.9816666667	0.1606111234
191	0.9816666667	0.1598200365
192	0.98	0.1587042535
193	0.98	0.158305734
194	0.985	0.1565614947
195	0.9866666667	0.1557611069
196	0.9866666667	0.1551509819
197	0.9866666667	0.1543073103
198	0.9866666667	0.1532267608
199	0.9866666667	0.1523615885
200	0.9866666667	0.1512275431
201	0.9866666667	0.1500884626
202	0.9883333333	0.1490723864
203	0.9866666667	0.148064989
204	0.9883333333	0.1471209739
205	0.9883333333	0.1466399531
206	0.99	0.1460266984
207	0.99	0.1450187086
208	0.99	0.1448359765
209	0.99	0.1436474182
210	0.99	0.1431581463
211	0.99	0.142435138
212	0.9916666667	0.1413790246
213	0.9916666667	0.1406335333
214	0.9916666667	0.1401926369
215	0.9916666667	0.1401107352
216	0.99	0.1394905439
217	0.9916666667	0.1382913426
218	0.9916666667	0.1377177064
219	0.9916666667	0.1374582922
220	0.9916666667	0.1372718802
221	0.9916666667	0.1367189551
222	0.9916666667	0.1355057325
223	0.9916666667	0.1352746112
224	0.9916666667	0.1347577801
225	0.9916666667	0.1341387489
226	0.9916666667	0.1335240573
227	0.9916666667	0.1324458065
228	0.9916666667	0.1320898883
229	0.9916666667	0.1309205435
230	0.9916666667	0.1303031664
231	0.9916666667	0.1295609626
232	0.9916666667	0.1295005807
233	0.9916666667	0.129384534
234	0.9916666667	0.1283940006
235	0.9916666667	0.1274272261
236	0.9916666667	0.1269356644
237	0.9916666667	0.126489202
238	0.9916666667	0.125872116
239	0.9916666667	0.1255827803
240	0.9916666667	0.1253166103
241	0.9916666667	0.1244243474
242	0.9916666667	0.123628039
243	0.9916666667	0.1230310589
244	0.9933333333	0.1222392443
245	0.9933333333	0.1217032658
246	0.9933333333	0.1213108051
247	0.9933333333	0.1204842544
248	0.9933333333	0.1200551209
249	0.9933333333	0.119631119
250	0.9933333333	0.1192819048
251	0.9933333333	0.1185603455
252	0.9933333333	0.1173408318
253	0.9933333333	0.1167792259
254	0.9933333333	0.1163213416
255	0.9933333333	0.1159021436
256	0.9933333333	0.1157236209
257	0.9933333333	0.1149167431
258	0.9933333333	0.1144015893
259	0.9933333333	0.1138923178
260	0.9933333333	0.1135657192
261	0.9933333333	0.112734405
262	0.9933333333	0.1116292242
263	0.9933333333	0.1113224002
264	0.9933333333	0.1107410467
265	0.9933333333	0.1099014651
266	0.995	0.1093593396
267	0.995	0.1091663111
268	0.995	0.108826121
269	0.995	0.1082132245
270	0.995	0.1077010629
271	0.995	0.1073699294
272	0.995	0.1070049123
273	0.995	0.1068219668
274	0.9983333333	0.1059640738
275	0.9983333333	0.1053755512
276	0.9983333333	0.1051769413
277	0.9983333333	0.1050980485
278	0.9983333333	0.1046404035
279	0.9983333333	0.1038018249
280	0.9983333333	0.1031721087
281	0.9983333333	0.1027117178
282	0.9983333333	0.1022695644
283	0.9983333333	0.1018905561
284	0.9983333333	0.1016401797
285	0.9983333333	0.1014050906
286	0.9983333333	0.1007628434
287	0.9983333333	0.1004324503
288	0.9983333333	0.1001429815
289	0.9983333333	0.1000626366
290	0.9983333333	0.09959273325
291	0.9983333333	0.09954122461
292	0.9983333333	0.09949162727
293	0.9983333333	0.09905960686
294	0.9983333333	0.09857805355
295	0.9983333333	0.09790961916
296	0.9983333333	0.09767863528
297	0.9983333333	0.09686079169
298	0.9983333333	0.09599646736
299	0.9983333333	0.09558128333
300	0.9983333333	0.09513962635
301	0.9983333333	0.09504500285
302	0.9983333333	0.09427310652
303	0.9983333333	0.09403907904
304	0.9983333333	0.09396371378
305	0.9983333333	0.09382613716
306	0.9983333333	0.09352548018
307	0.9983333333	0.09286664642
308	0.9983333333	0.09250049966
309	0.9983333333	0.0922750922
310	0.9983333333	0.09165751201
311	0.9983333333	0.09136714838
312	0.9983333333	0.09092079943
313	0.9983333333	0.09064743826
314	0.9983333333	0.09021182652
315	0.9983333333	0.09012657203
316	0.9983333333	0.08976880225
317	0.9983333333	0.08950946262
318	0.9983333333	0.08892619003
319	0.9983333333	0.08854237646
320	0.9983333333	0.08826454036
321	0.9983333333	0.08766180105
322	0.9983333333	0.08692090553
323	0.9983333333	0.08666187183
324	0.9983333333	0.08646026733
325	0.9983333333	0.08613011393
326	0.9983333333	0.08578317314
327	0.9983333333	0.08556595065
328	0.9983333333	0.08550913442
329	0.9983333333	0.08533772942
330	0.9983333333	0.0852440127
331	0.9983333333	0.08450133332
332	0.9983333333	0.08431664931
333	0.9983333333	0.0839287149
334	0.9983333333	0.08364416061
335	0.9983333333	0.08321602976
336	0.9983333333	0.08299470838
337	0.9983333333	0.0829075983
338	0.9983333333	0.08287860608
339	0.9983333333	0.08236113091
340	0.9983333333	0.08201867004
341	0.9983333333	0.08152402159
342	0.9983333333	0.08134501804
343	0.9983333333	0.081114555
344	0.9983333333	0.08093929735
345	0.9983333333	0.08072754644
346	0.9983333333	0.08058801937
347	0.9983333333	0.08021640201
348	0.9983333333	0.07987578319
349	0.9983333333	0.07949272594
350	0.9983333333	0.07921817842
351	0.9983333333	0.07879368322
352	0.9983333333	0.07848454545
353	0.9983333333	0.07819533295
354	0.9983333333	0.0780607072
355	0.9983333333	0.07796336905
356	0.9983333333	0.07758373932
357	0.9983333333	0.07738318831
358	0.9983333333	0.07708808118
359	0.9983333333	0.07685469179
360	0.9983333333	0.07656924744
361	0.9983333333	0.07618807587
362	0.9983333333	0.07591965073
363	0.9983333333	0.07563762024
364	0.9983333333	0.07540048383
365	0.9983333333	0.07511102722
366	0.9983333333	0.07474573283
367	0.9983333333	0.07446660246
368	0.9983333333	0.07415052465
369	0.9983333333	0.07378163249
370	0.9983333333	0.07359980628
371	0.9983333333	0.07331196211
372	0.9983333333	0.07279546687
373	0.9983333333	0.07252063034
374	0.9983333333	0.07229980873
375	0.9983333333	0.0722138865
376	0.9983333333	0.0718763011
377	0.9983333333	0.07181439155
378	0.9983333333	0.07171718799
379	0.9983333333	0.07157098039
380	0.9983333333	0.07147079487
381	0.9983333333	0.07132747237
382	0.9983333333	0.07118154455
383	0.9983333333	0.07106385117
384	0.9983333333	0.07076581496
385	0.9983333333	0.07063967918
386	0.9983333333	0.07058730192
387	0.9983333333	0.07020018602
388	0.9983333333	0.06945893453
389	0.9983333333	0.06933566637
390	0.9983333333	0.0691405674
391	0.9983333333	0.06880505881
392	0.9983333333	0.06858396881
393	0.9983333333	0.06854733579
394	0.9983333333	0.06837209105
395	0.9983333333	0.06754363401
396	0.9983333333	0.06748866924
397	0.9983333333	0.06738946162
398	0.9983333333	0.06696705944
399	0.9983333333	0.06691197669
400	0.9983333333	0.06685750945
401	0.9983333333	0.06672615139
402	0.9983333333	0.06646704863
403	0.9983333333	0.0661745846
404	0.9983333333	0.06600008112
405	0.9983333333	0.0659390186
406	0.9983333333	0.06547204452
407	0.9983333333	0.06531777737
408	0.9983333333	0.06517021695
409	0.9983333333	0.06498133142
410	0.9983333333	0.06489476212
411	0.9983333333	0.06471789181
412	0.9983333333	0.06445772193
413	0.9983333333	0.06418894511
414	0.9983333333	0.0639376664
415	0.9983333333	0.06353366708
416	0.9983333333	0.06333816394
417	0.9983333333	0.06309868818
418	0.9983333333	0.0628449489
419	0.9983333333	0.06260099507
420	0.9983333333	0.0623388454
421	0.9983333333	0.06217935766
422	0.9983333333	0.06203038762
423	0.9983333333	0.06181924087
424	0.9983333333	0.06160498631
425	0.9983333333	0.06153575919
426	0.9983333333	0.06144594219
427	0.9983333333	0.06131661071
428	0.9983333333	0.06122080744
429	0.9983333333	0.06113177249
430	0.9983333333	0.06101400534
431	0.9983333333	0.06096077654
432	0.9983333333	0.06077089514
433	0.9983333333	0.06069238281
434	0.9983333333	0.06065553165
435	0.9983333333	0.06059854378
436	1	0.06028828235
437	1	0.05996943045
438	1	0.05984397395
439	1	0.05966363577
440	1	0.05943352688
441	1	0.05923974073
442	1	0.05903339364
443	1	0.05871898072
444	1	0.05853080527
445	1	0.05845466623
446	1	0.05813958952
447	1	0.05808345006
448	1	0.05795915959
449	1	0.05776108618
450	1	0.05760445172
451	1	0.05736462763
452	1	0.05723438185
453	1	0.05696594183
454	1	0.05686889976
455	1	0.05673265272
456	1	0.05653037104
457	1	0.05639122731
458	1	0.05634405275
459	1	0.05625881231
460	1	0.05621959891
461	1	0.05615696034
462	1	0.05607361429
463	1	0.05577582777
464	1	0.05552363039
465	1	0.05542459766
466	1	0.0551734123
467	1	0.05499455732
468	1	0.05475057105
469	1	0.054583998
470	1	0.05453385455
471	1	0.05438622318
472	1	0.05431997634
473	1	0.05429682488
474	1	0.05423342344
475	1	0.05404766257
476	1	0.05389365093
477	1	0.0537591346
478	1	0.05370730856
479	1	0.05357445912
480	1	0.05320650283
481	1	0.05299155592
482	1	0.05275367074
483	1	0.0526771454
484	1	0.0525369121
485	1	0.05240523602
486	1	0.052393182
487	1	0.05216482663
488	1	0.05204591535
489	1	0.05184006874
490	1	0.0515658695
491	1	0.05151939542
492	1	0.05142301488
493	1	0.05131804533
494	1	0.05108552755
495	1	0.05085601026
496	1	0.0507544133
497	1	0.05057888297
498	1	0.05055001221
499	1	0.05049723924
500	1	0.0503333828
501	1	0.05009165512
502	1	0.04995934011
503	1	0.04984270165
504	1	0.04980029427
505	1	0.04973539079
506	1	0.04952323034
507	1	0.04943330154
508	1	0.04925988421
509	1	0.04897490013
510	1	0.04889133065
511	1	0.04867099541
512	1	0.04858471342
513	1	0.04836969027
514	1	0.04809089153
515	1	0.04789336562
516	1	0.04776166814
517	1	0.04773804051
518	1	0.04767800995
519	1	0.04763865972
520	1	0.04745369986
521	1	0.04731436604
522	1	0.04720797502
523	1	0.04713803976
524	1	0.04702435636
525	1	0.04672469614
526	1	0.0465846465
527	1	0.04640191292
528	1	0.0462035418
529	1	0.04601740676
530	1	0.04595142643
531	1	0.04580495843
532	1	0.04580001006
533	1	0.04578215435
534	1	0.04557868927
535	1	0.04540845245
536	1	0.04526626449
537	1	0.04516526609
538	1	0.04504658468
539	1	0.04489149771
540	1	0.04487224557
541	1	0.04458280884
542	1	0.04454241922
543	1	0.0445216638
544	1	0.04449271573
545	1	0.04436702091
546	1	0.04418692404
547	1	0.04403445149
548	1	0.04388730573
549	1	0.04380332878
550	1	0.04350233049
551	1	0.04346170678
552	1	0.04344506625
553	1	0.04334777449
554	1	0.0432676216
555	1	0.04315013094
556	1	0.04311872533
557	1	0.04304237895
558	1	0.04277700209
559	1	0.04271856991
560	1	0.04267673434
561	1	0.04265199538
562	1	0.04255280871
563	1	0.04250698715
564	1	0.04245283811
565	1	0.04237867302
566	1	0.04218239892
567	1	0.04215596348
568	1	0.04210493795
569	1	0.04202056359
570	1	0.04197454153
571	1	0.04194376102
572	1	0.04178748007
573	1	0.04174603941
574	1	0.04171249206
575	1	0.04151304432
576	1	0.04133693544
577	1	0.04119246876
578	1	0.04111869339
579	1	0.04110431784
580	1	0.04095822015
581	1	0.04087233931
582	1	0.04082760627
583	1	0.04070393736
584	1	0.04059768359
585	1	0.04047505961
586	1	0.04026610017
587	1	0.04016815562
588	1	0.04002692975
589	1	0.03998236763
590	1	0.03995573026
591	1	0.03992663534
592	1	0.03973821534
593	1	0.03961326079
594	1	0.03943215588
595	1	0.03920643682
596	1	0.0389833408
597	1	0.03889915224
598	1	0.03888499905
599	1	0.03887110059
600	1	0.03878934567
601	1	0.03869543946
602	1	0.03858227397
603	1	0.03850202904
604	1	0.03843966408
605	1	0.03842792339
606	1	0.03831985929
607	1	0.03824573464
608	1	0.03818066227
609	1	0.03814103254
610	1	0.03805347839
611	1	0.03803372109
612	1	0.03796732626
613	1	0.03789236901
614	1	0.03776092652
615	1	0.03765033496
616	1	0.03760542571
617	1	0.03756680472
618	1	0.0372895206
619	1	0.03726058516
620	1	0.03718291741
621	1	0.03712097571
622	1	0.03706406048
623	1	0.03701450067
624	1	0.03693250996
625	1	0.03685956761
626	1	0.03670801672
627	1	0.03651657156
628	1	0.03648015219
629	1	0.03642414542
630	1	0.03636424684
631	1	0.03627435022
632	1	0.0362252911
633	1	0.0361815015
634	1	0.03614211777
635	1	0.03599996033
636	1	0.03593665319
637	1	0.03590802518
638	1	0.03586178479
639	1	0.03580166899
640	1	0.03575034318
641	1	0.03572409335
642	1	0.03571145882
643	1	0.03561829109
644	1	0.03553772169
645	1	0.03551784436
646	1	0.03544716704
647	1	0.03535117454
648	1	0.03531178079
649	1	0.03523722669
650	1	0.03520697574
651	1	0.03514346614
652	1	0.03507259441
653	1	0.03503586562
654	1	0.03499619986
655	1	0.03495129074
656	1	0.03490628083
657	1	0.03482107455
658	1	0.03474968857
659	1	0.03468121122
660	1	0.03465637787
661	1	0.034548364
662	1	0.03442493125
663	1	0.03433275149
664	1	0.03417869545
665	1	0.03413405986
666	1	0.03408682003
667	1	0.03399434657
668	1	0.0339315935
669	1	0.03391003971
670	1	0.03388649866
671	1	0.03387510843
672	1	0.03380326073
673	1	0.03371683898
674	1	0.03364997619
675	1	0.0334818784
676	1	0.03337010745
677	1	0.03320128447
678	1	0.03309476834
679	1	0.03294940118
680	1	0.0328035381
681	1	0.03270040851
682	1	0.03264735031
683	1	0.03261614661
684	1	0.03259914932
685	1	0.03258808544
686	1	0.03242813871
687	1	0.03224783939
688	1	0.03213963876
689	1	0.03204237109
690	1	0.0319606578
691	1	0.03189533967
692	1	0.03181131754
693	1	0.03174128674
694	1	0.03171201196
695	1	0.0316519342
696	1	0.03159531548
697	1	0.03150752547
698	1	0.03143409559
699	1	0.03137428972
700	1	0.03127723812
701	1	0.03121639793
702	1	0.03105254614
703	1	0.03098217107
704	1	0.03093554781
705	1	0.03091819415
706	1	0.030765035
707	1	0.03072385627
708	1	0.03061787576
709	1	0.03049788351
710	1	0.03043809687
711	1	0.03037375521
712	1	0.03026477036
713	1	0.03015965293
714	1	0.03004835011
715	1	0.02982194924
716	1	0.02969299336
717	1	0.02962142703
718	1	0.02961614841
719	1	0.02958245329
720	1	0.02945779063
721	1	0.02932556231
722	1	0.02926846644
723	1	0.02925194845
724	1	0.02923437303
725	1	0.0291673023
726	1	0.02914839893
727	1	0.02913526545
728	1	0.02908615367
729	1	0.02903447335
730	1	0.02902121527
731	1	0.02900838773
732	1	0.02898681043
733	1	0.02884005041
734	1	0.02879387473
735	1	0.0287690906
736	1	0.02873389363
737	1	0.0287228623
738	1	0.02858871722
739	1	0.02856973778
740	1	0.02854899525
741	1	0.02848419817
742	1	0.02838404263
743	1	0.02836775404
744	1	0.02834131724
745	1	0.0283373874
746	1	0.02830774598
747	1	0.02828788886
748	1	0.02827564424
749	1	0.02824837132
750	1	0.02823038928
751	1	0.02816694144
752	1	0.02813522306
753	1	0.02811232088
754	1	0.02803957625
755	1	0.02797386794
756	1	0.02797155506
757	1	0.02788488007
758	1	0.02784367245
759	1	0.02767541856
760	1	0.02763424796
761	1	0.02761877644
762	1	0.02760776681
763	1	0.02759699299
764	1	0.02746028848
765	1	0.027436454
766	1	0.02741258022
767	1	0.02730116047
768	1	0.02729420856
769	1	0.02727912941
770	1	0.02719920209
771	1	0.0271572126
772	1	0.02710110546
773	1	0.02707242591
774	1	0.02706386848
775	1	0.02703004837
776	1	0.02702008459
777	1	0.02695861908
778	1	0.02684932713
779	1	0.02683190586
780	1	0.02680501786
781	1	0.02678720427
782	1	0.02678190979
783	1	0.02677136402
784	1	0.02671289981
785	1	0.02664570237
786	1	0.02659832426
787	1	0.02648842876
788	1	0.02646512639
789	1	0.02645741653
790	1	0.02644982793
791	1	0.02633115449
792	1	0.02628763594
793	1	0.02619675088
794	1	0.0260816423
795	1	0.02597999508
796	1	0.02591842663
797	1	0.02578512734
798	1	0.02575459437
799	1	0.0256995859
800	1	0.02567855503
801	1	0.02564909138
802	1	0.02559744332
803	1	0.02557205569
804	1	0.0255570863
805	1	0.02551296426
806	1	0.025495527
807	1	0.02549121573
808	1	0.02547457103
809	1	0.02541051583
810	1	0.02534410612
811	1	0.02527780306
812	1	0.02524825145
813	1	0.02514574787
814	1	0.02506829362
815	1	0.02504000872
816	1	0.02498929388
817	1	0.0248782813
818	1	0.02476646393
819	1	0.02473016897
820	1	0.0246529785
821	1	0.02463054104
822	1	0.02461716976
823	1	0.02459371844
824	1	0.02459029418
825	1	0.02458420659
826	1	0.02452907548
827	1	0.02449542516
828	1	0.02444595378
829	1	0.02443313041
830	1	0.02442372488
831	1	0.02434509909
