iter	Passed	Remaining
0	1	82
1	2	54
2	2	39
3	3	36
4	3	31
5	4	29
6	4	27
7	4	25
8	5	23
9	5	22
10	6	21
11	6	20
12	6	19
13	7	18
14	7	17
15	7	16
16	8	15
17	8	14
18	8	14
19	9	13
20	9	13
21	9	12
22	10	12
23	10	11
24	11	11
25	11	10
26	11	10
27	12	10
28	13	9
29	13	9
30	13	8
31	14	8
32	14	7
33	15	7
34	15	6
35	15	6
36	16	5
37	16	5
38	17	4
39	17	4
40	17	3
41	18	3
42	18	2
43	18	2
44	19	2
45	19	1
46	19	1
47	20	0
48	20	0
49	21	0
