iter	Logloss	Accuracy
80	0.3553835338	0.8565022422
81	0.3553271016	0.8565022422
82	0.3543065849	0.8565022422
83	0.3532816584	0.8609865471
84	0.3528405183	0.8632286996
85	0.3522712981	0.865470852
86	0.35047991	0.865470852
87	0.3495547389	0.8632286996
88	0.3492384092	0.8632286996
89	0.3484717196	0.8632286996
90	0.3479596808	0.865470852
91	0.3479180161	0.865470852
92	0.3470893307	0.8632286996
93	0.3459789225	0.865470852
94	0.3458823502	0.8632286996
95	0.3452067171	0.865470852
96	0.3441492754	0.8609865471
97	0.3440499368	0.865470852
98	0.3428626823	0.8632286996
99	0.3415948425	0.865470852
100	0.3411207995	0.869955157
101	0.341096489	0.8677130045
102	0.3405189233	0.8677130045
103	0.340517127	0.8677130045
104	0.3401752713	0.869955157
105	0.3399358333	0.865470852
106	0.3391885341	0.869955157
107	0.3387415001	0.8677130045
108	0.3378208963	0.8677130045
109	0.3375194571	0.8677130045
110	0.3371751812	0.8677130045
111	0.3359774321	0.8721973094
112	0.3350403583	0.8721973094
113	0.3336694516	0.8721973094
114	0.3336123216	0.869955157
115	0.333386517	0.869955157
116	0.3328708767	0.8721973094
117	0.331590612	0.8721973094
118	0.3301383184	0.8721973094
119	0.3294500278	0.8721973094
120	0.3294076031	0.8721973094
121	0.3290522378	0.8721973094
122	0.3286376395	0.8721973094
123	0.3285591224	0.8721973094
124	0.3279224766	0.8721973094
125	0.3265921155	0.8744394619
126	0.3262358014	0.8744394619
127	0.3262200777	0.8744394619
128	0.3251283341	0.8766816143
129	0.3238127409	0.8744394619
130	0.3232713578	0.8744394619
131	0.3216497357	0.8744394619
132	0.321528864	0.8766816143
133	0.3214307465	0.8766816143
134	0.3211582608	0.8766816143
135	0.3201611593	0.8766816143
136	0.3192955409	0.8744394619
137	0.3189429935	0.8744394619
138	0.3187657114	0.8744394619
139	0.3181246435	0.8744394619
140	0.3172293642	0.8789237668
141	0.3168821211	0.8811659193
142	0.3165361299	0.8789237668
143	0.316211072	0.8789237668
144	0.3158258177	0.8789237668
145	0.3146729217	0.8834080717
146	0.3128184782	0.8834080717
147	0.3118892921	0.8811659193
148	0.3113371271	0.8834080717
149	0.3103915049	0.8834080717
150	0.3093323837	0.8834080717
151	0.3091647481	0.8811659193
152	0.3091501098	0.8811659193
153	0.3083316497	0.8811659193
154	0.3067102896	0.8811659193
155	0.3064508691	0.8834080717
156	0.305407777	0.8834080717
157	0.3047928721	0.8856502242
158	0.3046987303	0.8856502242
159	0.3041251624	0.8856502242
160	0.3034083526	0.8856502242
161	0.3026977156	0.8856502242
162	0.3022101034	0.8856502242
163	0.3013491208	0.8856502242
164	0.3006245332	0.8856502242
165	0.2995208014	0.8878923767
166	0.2992277312	0.8901345291
167	0.2987503682	0.8856502242
168	0.297927811	0.8834080717
169	0.297799829	0.8834080717
170	0.2967959289	0.8834080717
171	0.2955685606	0.8856502242
172	0.2947051883	0.8878923767
173	0.2935654301	0.8878923767
174	0.2933699256	0.8901345291
175	0.2933696807	0.8901345291
176	0.2933681005	0.8901345291
177	0.2919823576	0.8901345291
178	0.2915564484	0.8901345291
179	0.2907859213	0.8923766816
180	0.2907160424	0.8923766816
181	0.2905121006	0.8923766816
182	0.2901747505	0.8923766816
183	0.2898809905	0.8923766816
184	0.2892260526	0.8923766816
185	0.2886011054	0.8923766816
186	0.288003219	0.8923766816
187	0.2876749627	0.8901345291
188	0.2875526364	0.8901345291
189	0.2874946622	0.8901345291
190	0.2862723213	0.8923766816
191	0.2859200974	0.8923766816
192	0.2850120691	0.8946188341
193	0.2843418118	0.899103139
194	0.2840522016	0.9013452915
195	0.2834145364	0.9013452915
196	0.2833595474	0.9013452915
197	0.2830571526	0.9013452915
198	0.2823905784	0.9013452915
199	0.281223405	0.899103139
200	0.2807173008	0.9013452915
201	0.279952773	0.9013452915
202	0.2798644568	0.899103139
203	0.2782245314	0.9035874439
204	0.2781838918	0.9035874439
205	0.2778099395	0.9035874439
206	0.2765928909	0.9035874439
207	0.2764104775	0.9035874439
208	0.2760258843	0.9035874439
209	0.2758663486	0.9035874439
210	0.2754367512	0.9035874439
211	0.2748187236	0.9035874439
212	0.2743511822	0.9058295964
213	0.273893205	0.9058295964
214	0.2738451702	0.9058295964
215	0.2735831643	0.9058295964
216	0.2734014861	0.9058295964
217	0.2729404419	0.9058295964
218	0.2727855079	0.9058295964
219	0.2716236948	0.9103139013
220	0.2711523693	0.9103139013
221	0.2702093736	0.9103139013
222	0.2695346224	0.9080717489
223	0.2688341538	0.9080717489
224	0.268766323	0.9080717489
225	0.2685216297	0.9080717489
226	0.2681994269	0.9058295964
227	0.2676828176	0.9080717489
228	0.2669260011	0.9103139013
229	0.2666420323	0.9103139013
230	0.2661129874	0.9125560538
231	0.2653426045	0.9103139013
232	0.2649403551	0.9103139013
233	0.2648226681	0.9103139013
234	0.2646720377	0.9103139013
235	0.2642898396	0.9103139013
236	0.2642418257	0.9103139013
237	0.26410546	0.9103139013
238	0.2638886895	0.9103139013
239	0.2637941119	0.9103139013
240	0.2631101303	0.9103139013
241	0.2626956797	0.9125560538
242	0.2617287346	0.9125560538
243	0.2605936024	0.9103139013
244	0.2605035954	0.9103139013
245	0.2604629136	0.9103139013
246	0.2603248156	0.9103139013
247	0.2601347925	0.9103139013
248	0.2597165822	0.9103139013
249	0.259616382	0.9125560538
250	0.2594509889	0.9125560538
251	0.2589352376	0.9147982063
252	0.2587984929	0.9147982063
253	0.2586765727	0.9125560538
254	0.2579991612	0.9147982063
255	0.2576001613	0.9147982063
256	0.2575690179	0.9147982063
257	0.2571808279	0.9147982063
258	0.2565249494	0.9147982063
259	0.2559897233	0.9147982063
260	0.2558384567	0.9147982063
261	0.2555358191	0.9147982063
262	0.2554586919	0.9147982063
263	0.2551182578	0.9147982063
264	0.2542346726	0.9170403587
265	0.2540125457	0.9170403587
266	0.2533019699	0.9170403587
267	0.2525012053	0.9170403587
268	0.2517417657	0.9170403587
269	0.2515697643	0.9170403587
270	0.2503845133	0.9192825112
271	0.2501221836	0.9192825112
272	0.2495799747	0.9192825112
273	0.2488582295	0.9170403587
274	0.2486119429	0.9192825112
275	0.2480252267	0.9192825112
276	0.2476016829	0.9192825112
277	0.2473481107	0.9192825112
278	0.2467281911	0.9215246637
279	0.24584423	0.9215246637
280	0.2456243124	0.9237668161
281	0.2453820234	0.9237668161
282	0.2444785977	0.9260089686
283	0.2442341853	0.9260089686
284	0.2441586622	0.9260089686
285	0.2439117261	0.9260089686
286	0.2437170081	0.9260089686
287	0.2435237254	0.9260089686
288	0.2433739474	0.9260089686
289	0.2432051046	0.9260089686
290	0.242611891	0.9260089686
291	0.2418918152	0.9260089686
