iter	Accuracy	Logloss
317	0.988	0.1366792652
318	0.988	0.1365226979
319	0.9893333333	0.1362296908
320	0.9893333333	0.1355767798
321	0.9893333333	0.1351640947
322	0.9893333333	0.134986052
323	0.9893333333	0.1349729726
324	0.9893333333	0.13475096
325	0.9893333333	0.1340589829
326	0.9893333333	0.1338574904
327	0.9893333333	0.1333965781
328	0.988	0.1330805444
329	0.988	0.1328480835
330	0.988	0.1321463673
331	0.988	0.132058633
332	0.988	0.1314250884
333	0.9893333333	0.1310524157
334	0.9893333333	0.1304412844
335	0.9893333333	0.1302038144
336	0.9906666667	0.1298829802
337	0.9906666667	0.1296052663
338	0.9906666667	0.1295878153
339	0.992	0.1294401298
340	0.992	0.1284096356
341	0.992	0.1274393753
342	0.992	0.1274127236
343	0.992	0.1266984958
344	0.992	0.1265966736
345	0.992	0.1264182134
346	0.992	0.1260760236
347	0.992	0.1251320357
348	0.992	0.1246110992
349	0.992	0.1244723538
350	0.992	0.1241741454
351	0.9933333333	0.1234399105
352	0.9933333333	0.1232275036
353	0.9933333333	0.1229442086
354	0.9933333333	0.122653517
355	0.9933333333	0.1223738489
356	0.9933333333	0.1214565829
357	0.9933333333	0.121443971
358	0.992	0.1210456219
359	0.992	0.1205903855
360	0.992	0.1200732599
361	0.992	0.1195416299
362	0.992	0.1192203985
363	0.992	0.1189760132
364	0.992	0.1185948138
365	0.992	0.1178242873
366	0.992	0.1177864225
367	0.992	0.1176679813
368	0.992	0.1170382243
369	0.992	0.1165744962
370	0.992	0.1161315188
371	0.992	0.1156405718
372	0.992	0.1149727312
373	0.992	0.114508756
374	0.992	0.1139032671
375	0.992	0.113896153
376	0.992	0.1134471973
377	0.992	0.1131621382
378	0.992	0.1131466008
379	0.992	0.1128488753
380	0.992	0.1126388901
381	0.992	0.112444667
382	0.992	0.1121244481
383	0.992	0.1114697603
384	0.992	0.1111874848
385	0.992	0.1109221532
386	0.992	0.1101720936
387	0.992	0.109854858
388	0.992	0.1094864533
389	0.992	0.1088232609
390	0.9933333333	0.108481735
391	0.9933333333	0.1084259539
392	0.9933333333	0.1083624436
393	0.992	0.1081827498
394	0.992	0.1072730068
395	0.9933333333	0.1069428569
396	0.9933333333	0.1069306288
397	0.9933333333	0.1065465569
398	0.9933333333	0.1062127869
399	0.9933333333	0.1058709307
400	0.9946666667	0.105616221
401	0.9946666667	0.1054224917
402	0.9946666667	0.1052117996
403	0.9946666667	0.1045110416
404	0.996	0.1040645271
405	0.996	0.1038514001
406	0.996	0.1036528261
407	0.996	0.1030142042
408	0.996	0.1025369629
409	0.996	0.1019242566
410	0.996	0.1017747972
411	0.9946666667	0.1013015884
412	0.996	0.1009321355
413	0.996	0.1006446502
414	0.996	0.1002564588
415	0.996	0.0999324196
416	0.996	0.09954967348
417	0.996	0.09898675761
418	0.996	0.0985471236
419	0.996	0.09803033404
420	0.996	0.09753579061
421	0.996	0.09750538313
422	0.996	0.09713060923
423	0.996	0.09661818618
424	0.996	0.0956118631
425	0.996	0.09544559436
426	0.996	0.09515122003
427	0.996	0.09498369089
428	0.996	0.09488583355
429	0.996	0.09477362496
430	0.996	0.0943980975
431	0.996	0.09334261814
432	0.996	0.09320923783
433	0.996	0.09317509385
434	0.996	0.09308687642
435	0.996	0.09291957979
436	0.996	0.09243335324
437	0.996	0.09220021802
438	0.996	0.09198778094
439	0.996	0.09179966741
440	0.996	0.09149282471
441	0.996	0.09093812144
442	0.996	0.09067190243
443	0.996	0.09034608663
444	0.996	0.08997531402
445	0.996	0.08989124756
