iter	Passed	Remaining
0	17	17486
1	24	12392
2	34	11514
3	44	10978
4	49	9856
5	58	9618
6	64	9177
7	70	8725
8	76	8436
9	79	7831
10	85	7720
11	90	7488
12	98	7499
13	106	7479
14	109	7181
15	114	7012
16	118	6876
17	121	6628
18	127	6568
19	133	6547
20	136	6357
21	143	6397
22	149	6367
23	153	6234
24	161	6279
25	165	6184
26	171	6182
27	176	6131
28	179	6003
29	184	5973
30	188	5900
31	190	5777
32	194	5686
33	199	5671
34	203	5618
35	208	5579
36	211	5512
37	221	5597
38	228	5623
39	234	5627
40	240	5628
41	247	5646
42	251	5600
43	256	5573
44	264	5616
45	268	5572
46	276	5603
47	282	5596
48	289	5622
49	297	5654
50	304	5674
51	309	5649
52	314	5617
53	320	5608
54	324	5575
55	330	5563
56	333	5518
57	339	5514
58	345	5514
59	352	5525
60	358	5512
61	373	5656
62	380	5659
63	387	5664
64	393	5661
65	399	5649
66	403	5612
67	407	5587
68	411	5549
69	418	5553
70	423	5545
71	430	5550
72	437	5560
73	444	5561
74	459	5673
75	467	5684
76	474	5686
77	483	5712
78	489	5711
79	494	5689
80	501	5693
81	507	5681
82	509	5632
83	512	5591
84	515	5549
85	521	5538
86	527	5531
87	533	5529
88	536	5490
89	541	5470
90	543	5431
91	546	5392
92	549	5354
93	552	5325
94	559	5327
95	566	5335
96	573	5337
97	579	5336
98	585	5330
99	593	5342
100	599	5335
101	604	5319
102	609	5309
103	616	5312
104	624	5322
105	631	5321
106	638	5330
107	654	5403
108	660	5396
109	665	5386
110	667	5347
111	673	5343
112	677	5320
113	682	5304
114	688	5295
115	694	5295
116	697	5265
117	704	5263
118	713	5280
119	716	5252
120	723	5259
121	727	5235
122	735	5243
123	743	5250
124	750	5252
125	756	5244
126	772	5313
127	776	5292
128	780	5272
129	785	5256
130	786	5219
131	793	5215
132	804	5241
133	814	5264
134	825	5287
135	836	5315
136	846	5333
137	850	5309
138	857	5310
139	864	5312
140	872	5317
141	877	5301
142	885	5304
143	892	5306
144	898	5296
145	902	5281
146	908	5269
147	915	5268
148	918	5244
149	924	5239
150	929	5228
151	933	5209
152	941	5214
153	948	5208
154	955	5211
155	968	5241
156	975	5238
157	983	5243
158	991	5245
159	998	5241
160	1005	5241
161	1011	5233
162	1018	5230
163	1028	5242
164	1034	5235
165	1043	5240
166	1051	5245
167	1059	5246
168	1066	5243
169	1075	5248
170	1085	5260
171	1094	5267
172	1104	5279
173	1109	5266
174	1116	5265
175	1126	5274
176	1150	5349
177	1174	5424
178	1185	5437
179	1197	5453
180	1210	5476
181	1225	5509
182	1233	5505
183	1241	5507
184	1250	5510
185	1258	5506
186	1266	5504
187	1271	5493
188	1278	5486
189	1290	5502
190	1296	5492
191	1305	5495
192	1315	5500
193	1324	5502
194	1333	5502
195	1341	5503
196	1352	5511
197	1366	5533
198	1376	5538
199	1380	5522
200	1390	5528
201	1397	5521
202	1403	5511
203	1411	5508
204	1421	5512
205	1430	5513
206	1441	5520
207	1461	5564
208	1484	5618
209	1497	5633
210	1521	5690
211	1533	5700
212	1541	5696
213	1549	5690
214	1556	5684
215	1565	5682
216	1573	5678
217	1584	5682
218	1590	5670
219	1601	5677
220	1610	5677
221	1620	5678
222	1625	5663
223	1634	5663
224	1643	5660
225	1652	5660
226	1662	5661
227	1667	5646
228	1679	5655
229	1688	5654
230	1700	5661
231	1708	5654
232	1718	5658
233	1727	5654
234	1738	5658
235	1750	5666
236	1759	5665
237	1769	5666
238	1777	5658
239	1787	5660
240	1796	5659
241	1804	5651
242	1813	5649
243	1822	5646
244	1830	5642
245	1839	5638
246	1847	5631
247	1857	5631
248	1867	5633
249	1877	5631
250	1884	5624
251	1892	5618
252	1901	5615
253	1910	5611
254	1920	5610
255	1927	5601
256	1932	5586
257	1939	5576
258	1946	5569
259	1954	5562
260	1961	5553
261	1968	5545
262	1976	5538
263	1983	5530
264	1992	5526
265	2000	5519
266	2007	5512
267	2015	5504
268	2023	5498
269	2031	5492
270	2037	5481
271	2042	5467
272	2050	5460
273	2057	5450
274	2066	5448
275	2074	5441
276	2083	5438
277	2090	5430
278	2102	5433
279	2109	5424
280	2116	5416
281	2124	5410
282	2132	5402
283	2137	5390
284	2145	5381
285	2151	5372
286	2160	5366
287	2168	5359
288	2175	5353
289	2184	5348
290	2193	5343
291	2200	5335
292	2206	5324
293	2212	5313
294	2218	5301
295	2226	5294
296	2230	5279
297	2236	5268
298	2243	5258
299	2248	5246
300	2255	5238
301	2263	5232
302	2270	5222
303	2277	5213
304	2287	5211
305	2294	5203
306	2305	5204
307	2312	5196
308	2320	5189
309	2327	5181
310	2334	5173
311	2342	5166
312	2349	5156
313	2356	5147
314	2363	5140
315	2370	5130
316	2376	5121
317	2386	5118
318	2395	5113
319	2404	5110
320	2413	5104
321	2420	5096
322	2428	5089
323	2435	5080
324	2444	5076
325	2451	5068
326	2460	5062
327	2468	5056
328	2474	5047
329	2482	5040
330	2486	5025
331	2493	5016
332	2500	5009
333	2507	5000
334	2512	4988
335	2522	4984
336	2531	4980
337	2541	4977
338	2550	4974
339	2558	4966
340	2564	4955
341	2566	4938
342	2570	4924
343	2573	4908
344	2576	4891
345	2579	4876
346	2586	4866
347	2593	4858
348	2601	4852
349	2608	4844
350	2612	4829
351	2617	4819
352	2625	4811
353	2632	4803
354	2639	4795
355	2646	4787
356	2652	4777
357	2659	4769
358	2665	4758
359	2672	4751
360	2680	4744
361	2689	4739
362	2696	4732
363	2704	4724
364	2707	4709
365	2715	4704
366	2726	4702
367	2734	4696
368	2740	4686
369	2749	4681
370	2757	4674
371	2764	4666
372	2770	4657
373	2776	4646
374	2783	4639
375	2790	4631
376	2797	4622
377	2808	4621
378	2814	4611
379	2822	4604
380	2832	4601
381	2841	4597
382	2852	4595
383	2864	4594
384	2871	4587
385	2879	4580
386	2887	4572
387	2893	4563
388	2901	4557
389	2906	4546
390	2913	4538
391	2921	4531
392	2929	4524
393	2940	4522
394	2948	4516
395	2957	4510
396	2965	4504
397	2973	4498
398	2980	4489
399	2987	4481
400	2993	4472
401	3003	4467
402	3010	4460
403	3017	4451
404	3025	4445
405	3032	4436
406	3037	4425
407	3044	4417
408	3049	4406
409	3056	4399
410	3063	4390
411	3068	4379
412	3100	4406
413	3116	4411
414	3120	4398
415	3123	4384
416	3129	4374
417	3136	4366
418	3145	4361
419	3159	4362
420	3182	4377
421	3201	4384
422	3212	4382
423	3220	4374
424	3229	4368
425	3238	4362
426	3242	4350
427	3250	4344
428	3258	4337
429	3266	4330
430	3274	4322
431	3285	4319
432	3293	4312
433	3300	4304
434	3307	4295
435	3313	4286
436	3321	4278
437	3328	4271
438	3333	4259
439	3340	4251
440	3349	4245
441	3353	4234
442	3363	4228
443	3369	4219
444	3378	4213
445	3383	4202
446	3389	4192
447	3394	4182
448	3401	4174
449	3407	4165
450	3415	4157
451	3421	4148
452	3429	4141
453	3437	4134
454	3445	4126
455	3453	4119
456	3461	4112
457	3466	4102
458	3474	4095
459	3480	4086
460	3486	4076
461	3492	4067
462	3500	4059
463	3507	4051
464	3513	4042
465	3519	4032
466	3524	4022
467	3530	4012
468	3536	4003
469	3542	3994
470	3548	3985
471	3559	3981
472	3566	3973
473	3574	3966
474	3581	3958
475	3588	3950
476	3597	3944
477	3606	3938
478	3615	3932
479	3626	3928
480	3636	3924
481	3645	3917
482	3654	3912
483	3663	3905
484	3670	3897
485	3678	3889
486	3685	3882
487	3692	3874
488	3700	3866
489	3708	3859
490	3715	3852
491	3725	3846
492	3732	3838
493	3738	3829
494	3745	3821
495	3750	3811
496	3754	3800
497	3760	3790
498	3765	3780
499	3771	3771
500	3777	3762
501	3792	3761
502	3796	3751
503	3831	3771
504	3840	3764
505	3848	3756
506	3855	3749
507	3864	3742
508	3872	3735
509	3880	3727
510	3888	3721
511	3897	3714
512	3902	3704
513	3909	3696
514	3916	3688
515	3923	3680
516	3930	3671
517	3939	3665
518	3948	3658
519	3955	3651
520	3964	3644
521	3970	3635
522	3973	3624
523	3977	3613
524	3983	3603
525	3988	3594
526	3994	3585
527	4000	3576
528	4007	3568
529	4014	3559
530	4023	3553
531	4031	3546
532	4038	3538
533	4046	3531
534	4053	3523
535	4059	3513
536	4064	3504
537	4071	3496
538	4078	3488
539	4086	3480
540	4093	3473
541	4097	3462
542	4103	3453
543	4110	3445
544	4119	3438
545	4126	3431
546	4135	3424
547	4143	3417
548	4151	3410
549	4159	3403
550	4164	3393
551	4172	3386
552	4180	3378
553	4186	3370
554	4194	3363
555	4201	3355
556	4209	3348
557	4216	3339
558	4222	3330
559	4230	3324
560	4238	3316
561	4244	3308
562	4251	3300
563	4260	3293
564	4265	3284
565	4271	3275
566	4280	3268
567	4287	3260
568	4294	3253
569	4302	3245
570	4310	3238
571	4320	3232
572	4326	3224
573	4332	3215
574	4340	3208
575	4348	3200
576	4355	3192
577	4363	3185
578	4371	3178
579	4379	3171
580	4386	3163
581	4394	3156
582	4398	3146
583	4406	3138
584	4413	3131
585	4419	3122
586	4427	3114
587	4435	3108
588	4441	3099
589	4449	3091
590	4456	3084
591	4463	3076
592	4481	3075
593	4490	3068
594	4496	3060
595	4504	3053
596	4532	3059
597	4539	3051
598	4547	3044
599	4556	3037
600	4570	3034
601	4578	3026
602	4586	3019
603	4593	3011
604	4600	3003
605	4605	2994
606	4613	2986
607	4621	2979
608	4630	2972
609	4639	2966
610	4647	2958
611	4655	2951
612	4663	2944
613	4670	2936
614	4675	2926
615	4681	2918
616	4688	2910
617	4696	2902
618	4702	2894
619	4710	2887
620	4722	2882
621	4730	2874
622	4738	2867
623	4788	2885
624	4799	2879
625	4805	2870
626	4813	2863
627	4820	2855
628	4829	2848
629	4836	2840
630	4842	2831
631	4849	2823
632	4856	2815
633	4863	2807
634	4877	2803
635	4881	2794
636	4889	2786
637	4899	2779
638	4910	2773
639	4918	2766
640	4928	2760
641	4937	2753
642	4943	2744
643	4951	2736
644	4958	2729
645	4966	2721
646	4973	2713
647	4981	2706
648	4989	2698
649	4997	2691
650	5005	2683
651	5012	2675
652	5020	2667
653	5029	2660
654	5037	2653
655	5045	2645
656	5051	2637
657	5059	2629
658	5067	2622
659	5076	2615
660	5083	2607
661	5088	2598
662	5094	2589
663	5101	2581
664	5107	2573
665	5115	2565
666	5121	2556
667	5126	2547
668	5130	2538
669	5136	2529
670	5139	2519
671	5144	2510
672	5151	2503
673	5158	2495
674	5167	2487
675	5175	2480
