iter	Accuracy	Logloss
0	0.7083333333	0.6627437466
1	0.745	0.6367135837
2	0.7533333333	0.6119877853
3	0.755	0.5941996439
4	0.755	0.5787149079
5	0.76	0.5644696012
6	0.7583333333	0.5580459074
7	0.7533333333	0.5535863297
8	0.755	0.5449704006
9	0.7716666667	0.5345369571
10	0.7683333333	0.5239921475
11	0.7783333333	0.5169551804
12	0.7783333333	0.5131788622
13	0.7783333333	0.5054509665
14	0.785	0.4984627693
15	0.7883333333	0.4975460677
16	0.785	0.4921706503
17	0.8	0.484381307
18	0.805	0.4788474518
19	0.8133333333	0.4733054015
20	0.8166666667	0.4691677074
21	0.8216666667	0.4659927616
22	0.8216666667	0.4627732809
23	0.8233333333	0.4579412433
24	0.8233333333	0.4545989539
25	0.825	0.4505869461
26	0.8283333333	0.4494126803
27	0.825	0.4473435753
28	0.8366666667	0.440507427
29	0.8366666667	0.4357619362
30	0.83	0.4353753788
31	0.835	0.4325390844
32	0.84	0.4305898907
33	0.8383333333	0.4266702875
34	0.8383333333	0.4238378442
35	0.845	0.4179500849
36	0.845	0.4164075225
37	0.8466666667	0.4154031643
38	0.8466666667	0.4145925528
39	0.845	0.4113352723
40	0.8483333333	0.4089633175
41	0.8516666667	0.4044577076
42	0.8516666667	0.4033173026
43	0.8516666667	0.4019492897
44	0.85	0.3977348178
45	0.85	0.396145322
46	0.8533333333	0.393448438
47	0.8516666667	0.3917504677
48	0.8533333333	0.3896151707
49	0.8566666667	0.3878649789
50	0.8566666667	0.3874013824
51	0.8566666667	0.3869951244
52	0.8566666667	0.3852370198
53	0.8616666667	0.3813003549
54	0.8616666667	0.3783609688
55	0.87	0.3764763995
56	0.87	0.3764314783
57	0.87	0.3764304294
58	0.8733333333	0.3742789594
59	0.8716666667	0.3741336406
60	0.87	0.3707480324
61	0.87	0.3667793559
62	0.87	0.3651461718
63	0.8716666667	0.3624342224
64	0.875	0.3598976354
65	0.8766666667	0.3568036519
66	0.8783333333	0.3538637372
67	0.8783333333	0.3526381017
68	0.8783333333	0.3508172399
69	0.8783333333	0.3502589879
70	0.8783333333	0.3471657018
71	0.88	0.3468121816
72	0.8816666667	0.3433430394
73	0.88	0.3404392819
74	0.8833333333	0.3390837372
75	0.8833333333	0.3390634805
76	0.8883333333	0.3353300421
77	0.895	0.331240016
78	0.8966666667	0.3282848471
79	0.9016666667	0.3254178375
80	0.9016666667	0.3239820766
81	0.9	0.3195201575
82	0.8966666667	0.3165047087
83	0.9016666667	0.314118658
84	0.9	0.31202125
85	0.9033333333	0.3098928496
86	0.9033333333	0.3085886391
87	0.905	0.3076229766
88	0.905	0.3064267814
89	0.905	0.3038420088
90	0.905	0.302044173
91	0.9066666667	0.3004236945
92	0.9116666667	0.2976300306
93	0.9166666667	0.2943597508
94	0.9166666667	0.2925732141
95	0.92	0.290778042
96	0.9216666667	0.2891936014
97	0.9216666667	0.2881277906
98	0.9216666667	0.2871548422
99	0.9216666667	0.2838075323
100	0.92	0.2822703166
101	0.9216666667	0.2812146652
102	0.9216666667	0.2808651302
103	0.92	0.2791483576
104	0.9216666667	0.2784335867
105	0.92	0.2763855268
106	0.9233333333	0.273934485
107	0.925	0.2725139681
108	0.9233333333	0.2694154126
109	0.9266666667	0.2678859212
110	0.925	0.2670773356
111	0.925	0.2667509648
112	0.9283333333	0.2651919336
113	0.9283333333	0.2635147897
114	0.9283333333	0.2608383185
