iter	Passed	Remaining
0	6	6474
1	9	4596
2	15	5117
3	20	5131
4	25	5119
5	32	5385
6	37	5316
7	42	5281
8	46	5075
9	49	4854
10	54	4878
11	59	4910
12	65	4973
13	71	5018
14	76	5018
15	81	5000
16	86	4999
17	109	5949
18	134	6945
19	147	7229
20	155	7242
21	161	7182
22	169	7181
23	174	7108
24	177	6923
25	186	6969
26	193	6962
27	195	6799
28	202	6793
29	210	6791
30	217	6797
31	225	6811
32	231	6772
33	237	6751
34	241	6655
35	245	6572
36	250	6520
37	255	6457
38	260	6431
39	266	6402
40	272	6376
41	277	6336
42	279	6226
43	281	6111
44	286	6071
45	292	6065
46	299	6078
47	303	6011
48	305	5936
49	310	5898
50	315	5861
51	320	5837
52	325	5810
53	331	5810
54	337	5801
55	343	5793
56	347	5756
57	353	5743
58	358	5710
59	362	5681
60	366	5643
61	369	5589
62	372	5542
63	378	5528
64	382	5498
65	385	5460
66	388	5416
67	393	5391
68	396	5343
69	401	5328
70	405	5305
71	410	5293
72	416	5288
73	422	5285
74	427	5270
75	432	5264
76	438	5252
77	440	5212
78	447	5213
79	451	5192
80	456	5181
81	460	5156
82	466	5148
83	472	5148
84	479	5160
85	483	5138
86	489	5135
87	494	5125
88	501	5128
89	506	5118
90	510	5099
91	516	5098
92	522	5096
93	524	5054
94	536	5110
95	544	5127
96	554	5161
97	563	5190
98	571	5197
99	579	5216
100	591	5260
101	598	5269
102	610	5317
103	623	5368
104	632	5392
105	644	5432
106	651	5435
107	658	5442
108	665	5436
109	670	5428
110	676	5420
111	685	5431
112	691	5424
113	698	5424
114	705	5425
115	711	5425
116	719	5427
117	725	5424
118	730	5408
119	738	5418
120	743	5402
121	751	5409
122	758	5406
123	765	5405
124	770	5392
125	777	5395
126	782	5381
127	790	5382
128	795	5368
129	803	5374
130	807	5358
131	814	5353
132	820	5349
133	842	5441
134	853	5468
135	860	5464
136	871	5490
137	880	5502
138	888	5504
139	896	5509
140	903	5504
141	916	5538
142	923	5536
143	928	5519
144	934	5510
145	942	5514
146	948	5505
147	953	5490
148	963	5501
149	971	5502
150	976	5491
151	980	5469
152	985	5455
153	989	5437
154	993	5418
155	999	5405
156	1003	5388
157	1010	5382
158	1016	5376
159	1025	5385
160	1032	5381
161	1038	5374
162	1044	5364
163	1050	5356
164	1055	5341
165	1059	5321
166	1066	5319
167	1071	5304
168	1076	5295
169	1082	5286
170	1089	5284
171	1095	5272
172	1099	5255
173	1103	5239
174	1107	5222
175	1110	5199
